aa,count
M,208895
A,675072
L,969810
V,590933
E,680122
D,471404
G,628525
S,811739
Q,459518
R,543388
P,598267
F,354421
T,516655
Y,259441
K,545604
I,415772
N,343933
W,117632
H,247448
C,214518
U,33
X,74
B,17
Z,23
